All,모두
"Use FTP Connection","FTP 연결 사용"
"FTP credentials","FTP 자격 증명"
"FTP Host","FTP 호스트"
"FTP Login","FTP 로그인"
"FTP Password","FTP 비밀 번호"
"Magento root directory","마젠토 루트 디렉터리"
"Create Backup","백업 생성"
Rollback,롤백
"Scheduled Backup Settings","스케쥴 백업 설정"
"Enable Scheduled Backup","스케쥴 백업 활성화"
"Backup Type","백업 타입"
Frequency,빈도
"Maintenance Mode","유지보수 모드"
"Are you sure you want to delete the selected backup(s)?","선택한 백업을 정말 삭제하시겠습니까?"
Size(bytes),크기(bytes)
Type,타입
Download,다운로드
Banners,배너
"Add Banner","배너 추가"
"Save Banner","배너 저장"
"Delete Banner","배너 삭제"
"Save and Continue Edit","저장하고 계속 편집하기"
"New Banner","신규 배너"
"Default Content","기본 콘텐츠"
"No Default Content","기본 콘텐츠가 없습니다."
"Banner Default Content for All Store Views","모든 스토어뷰를 위한 배너 기본 콘텐츠"
"Store View Specific Content","특정 스토어뷰를 위한 콘텐츠"
"Use Default","기본값 사용"
"Related Promotions","관련된 프로모션"
Rule,규칙
"Start Date","시작 날짜"
"End Date","종료 날짜"
"Banner Properties","배너 속성"
"Banner Name","배너 이름"
Active,활성화
Inactive,비활성화
"Applies To","에 적용 됩니다."
"Any Banner Type","모든 배너 타입"
"Specified Banner Types","특정 배너 타입"
"Specify Types","특정 타입"
"Banner Information","배너 정보"
Banner,배너
"Banner Type","배너 타입"
Visibility,가시성
"Are you sure you want to delete these banners?","정말로 배너를 삭제하시겠습니까?"
"Related Banners","관련된 배너"
Position,기본
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"This banner does not exist.","배너가 존재하지 않습니다."
"You deleted the banner.","배너를 삭제했습니다."
"Something went wrong while deleting banner data. Please review the action log and try again.","배너를 삭제하는중 문제가 발생했습니다. 동작 로그를 확인하고 다시 시도해 주십시오."
"We cannot find a banner to delete.","삭제할 배너를 찾을 수 없습니다."
"This banner no longer exists.","이 배너는 더이상 존재하지 않습니다."
"Edit Banner","배너 수정"
"Please select a banner(s).","배너를 선택해 주십시오."
"You deleted %1 record(s).","%1 레코드를 삭제했습니다."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","배너 대량 삭제중 문제가 발생했습니다. 동작 로그를 확인하고 다시 시도해 주십시오."
"You saved the banner.","배너를 저장했습니다."
"We cannot save the banner.","배너를 저장할 수 없습니다."
"Please enter a name.","이름을 입력해 주십시오."
"Please specify default content for at least one store view.","스토어뷰를 위한 최소 하나의 기본 콘텐츠를 지정해 주십시오."
"-- None --","-- 없음 --"
"Related Cart Price Rules","관련된 장바구니 가격 규칙"
"Related Catalog Price Rules","관련된 카탈로그 가격 규칙"
"Content Area",콘텐츠
Footer,꼬리말
Header,머리말
"Left Column",왼쪽컬럼
"Right Column","오른쪽 칼럼"
"Manage Banners","배너 관리"
"Banner Rotator","배너 로테이터"
"Displays Specified or Promotion Banners","지정된 배너 또는 프로모션 배너 표시"
"Banners to Display","표시할 배너"
"Specified Banners","특정 배너"
"Shopping Cart Promotions Related","장바구니 프로모션 관련"
"Catalog Promotions Related","카탈로그 프로모션 관련"
"Restrict by Banner Types","배너 타입별 제한"
"Rotation Mode","로테이션 모드"
"One at the time, Random","한번에 하나, 랜덤"
"One at the time, Series","한번에 하나, 시리즈"
"One at the time, Shuffle","한번에 하나, 섞어서"
"Specify Banners","배너 지정"
"Banner Block Template","배너 블럭 템플릿"
"Banner Inline Template","배너 인라인 템플릿"
"General Information","일반 정보"
"Use Default Value","기본값 사용"
"Add Selected","선택항목 추가"
"All Segments","모든 댓글"
"Allowed Credit Card Types","허용된 신용카드 타입"
"Add Rule","규칙 추가"
"Braintree Settlement Report","브레인트리 정산 리포트"
"Sorry, but something went wrong","죄송합니다, 문제가 발생했습니다"
"Braintree error response.","브레인트리 에러 응답"
"Wrong transaction status","잘못된 트랜잭션 상태"
Authorize,인증
"Please agree to all the terms and conditions before placing the order.","이용약관에 동의하신 후 계속해 주십시오."
"Please, enter valid Credit Card Number","올바른 신용카드 번호를 입력해 주십시오"
"Please, enter valid Expiration Date","올바른 유효기간을 입력해 주십시오"
"Please, enter valid Card Verification Number","유효한 카드 인증 번호를 입력해 주십시오."
"Credit Card Information","신용카드 정보"
"Sorry, but something went wrong.","죄송합니다, 문제가 발생했습니다."
"Enable PayPal through Braintree","브레인트리를 통한 페이팔 사용 활성화"
"Advanced Braintree Settings","브레인트리 고급 설정"
"Advanced Fraud Protection","고급 사기 보호"
"CVV Verification","CVV 인증"
"Country Specific Settings","국가 지정 설정"
"PayPal through Braintree","브레인트리를 통한 페이팔"
"Override Merchant Name","Merchant 이름 덮어쓰기"
"3D Secure Verification Settings","3D 보안 확인 설정"
"Threshold Amount","임계 금액"
Phone,전화
"Company is too long.","회사 이름이 너무 깁니다."
"First name is too long.","이름이 너무 깁니다."
"Last name is too long.","성(이름)이 너무 깁니다."
"Street address is required.","주소는 필수 입력하셔야 합니다."
"Street address is too long.","주소가 너무 깁니다."
Select...,선택...
"Transaction Type","트랜잭션 타입"
"Payment Type","결제 타입"
"PayPal Payment ID","페이팔 결제 ID"
"Transaction ID","트랜잭션 ID"
"Order ID","주문 ID"
Amount,금액
Month,월
Year,연도
"Stored Card","저장된 카드"
"Credit card successfully added","신용 카드를 성공적으로 등록하였습니다."
"Something went wrong while saving the card.","카드를 저장하는 동안 오류가 발생했습니다."
"Delete Credit Card","신용 카드 삭제"
"There was error deleting the credit card","신용 카드를 삭제 하는 오류가 발생 했습니다."
"Credit card successfully deleted","신용 카드를 성공적으로 제거하였습니다."
"Edit Credit Card","신용 카드 편집"
"My Credit Cards","내 신용카드"
"New Credit Card","새 신용카드"
"We can't place the order.","주문을 진행할 수 없습니다."
Invoice,청구서
"Payment Information","결제 정보"
"* Required Fields","* 필수 항목"
"Billing Address","청구 주소"
Company,회사
Address,"주소 "
State/Province,시/도
"Please select region, state or province","지역을 선택하세요."
"Zip/Postal Code",우편번호
"Card Number","카드 번호"
"Edit My Credit Cards","신용 카드 편집"
"Paypal account","페이팔 계정"
"Coinbase account","코인베이스 어카운트"
"Europe bank account","유럽은행 계정"
"Credit card",신용카드
"Apple pay card","애플페이 카드"
"Android pay card","안드로이드 페이 카드"
"Authorization expired","인증이 만료됨"
Authorizing,인증중
Authorized,인증됨
Voided,무효화됨
Unrecognized,인식안됨
"Percent Discount","비율 할인"
"-- Select --","-- 선택 --"
Dynamic,동적
Fixed,"고정 요금"
"Create New Option","신규 옵션 생성"
"Bundle Items","번들 아이템"
"Add Products to Option","상품을 옵션으로 추가"
"Delete Option","옵션 삭제"
"What are you looking for?","무엇을 찾으시나요?"
"Product with specified sku: ""%1"" is not a bundle product","지정된 SKU ""%1""의 상품은 번들 상품이 아닙니다."
"Bundle product could not contain another composite product","번들 상품은 다른 조합 상품을 포함할 수 없습니다."
"Id field of product link is required","상품링크의 id필드는 필수 항목 입니다."
"Can not find product link with id ""%1""","ID ""%1""을 가진 상품 링크를 찾을 수 없습니다."
"Product with specified sku: ""%1"" does not contain option: ""%2""","지정된 SKU ""%1""의 상품이 다음 옵션을 가지고 있지 않습니다: ""%2"""
"Product with specified sku: %1 is not a bundle product","지정된 SKU %1의 상품은 번들 상품이 아닙니다."
"%fieldName is a required field.","%fieldName은(는) 필수 항목 입니다. "
"Requested option doesn't exist","요청한 옵션이 존재하지 않습니다."
"Cannot delete option with id %1","다음 id의 옵션을 삭제할 수 없습니다: %1"
"Could not save option","옵션을 저장할 수 없습니다."
"Price Range","가격 범위"
Together,같이
Separately,별도로
"Please specify product option(s).","상품 옵션을 지정해 주십시오."
"The options you selected are not available.","선택하신 옵션은 사용할 수 없습니다."
"The required options you selected are not available.","선택하신 필수 옵션은 사용할 수 없습니다."
"Please select all required options.","모든 필수 옵션을 선택 하십시오."
"We can't add this item to your shopping cart right now.","일시적으로 해당 상품을 장바구니에 추가할 수 없습니다."
N/A,해당없음
Percent,퍼센트
"Add Selected Products","선택된 상품 추가"
"Add Option","옵션 추가"
"New Option","신규 옵션"
"Option Title","옵션 타이틀"
"Default Title","기본 타이틀"
"Store View Title","스토어뷰 타이틀"
"Input Type","입력 타입"
Drop-down,드롭다운
"Radio Buttons","라디오 버튼"
Checkbox,체크박스
"Multiple Select",다중선택
Required,필수
"Default Quantity","기본 수량"
"Price Type","가격 타입"
Quantity:,수량:
"Ship Bundle Items","번들상품 배송"
"There are no products in this option.","해당 옵션에는 상품이 없습니다."
Default,기본
Ordered,주문됨
Invoiced,청구됨
Shipped,배송됨
Refunded,환불됨
Canceled,취소됨
"Regular Price","일반 가격"
"Go back to product details","제품 세부 사항으로 돌아가기"
Availability,재고상태
"In stock","재고 있음"
"Out of stock",품절
Availability:,재고상태:
"No options of this product are available.","상품의 옵션이 없습니다."
"Gift Message","선물 메시지"
From:,"보낸 사람:"
Message:,메시지:
"Product Name",상품명
"Discount Amount","할인 금액"
"Row Total","행 합계"
"Qty Invoiced","청구 수량"
"Qty Shipped","출하 수량"
"Add Products to New Option","상품을 신규 옵션으로 추가"
"Add Products to Option ""%1""","상품을 옵션 ""%1""에 추가"
"Special Price","특별 가격"
"""option_id"" and ""parent_id"" values should be specified","""option_id"" 와 ""parent_id"" 값이 지정되어야 합니다"
"""sku"" value should be specified","""sku"" (stock-keep-unit) 값이 지정되어야 합니다"
Always,항상
"Incorrect CAPTCHA","올바르지 않은 보안문자(CAPTCHA) 입니다"
"Incorrect CAPTCHA.","올바르지 않은 보안문자(CAPTCHA) 입니다."
"The account is locked. Please wait and try again or contact %1.","계정이 잠겨 있습니다. 기다렸다 다시 시도하시거나 %1로 연락하세요."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong> 주의</strong>: 보안문자(Captcha) 는 대소문자를 구분합니다."
"Reload captcha","보안문자(Captcha)를 리로드"
"Attention: Captcha is case sensitive.","주의: 보안문자(CAPTCHA)는 대소문자를 구분합니다."
CAPTCHA,"보안 문자"
Font,글꼴
Forms,양식
"Number of Unsuccessful Attempts to Login","다수의 실패한 로그인 시도가 있습니다."
"Case Sensitive","대소문자 구분"
"Please enter the letters from the image","이미지에 보이는 문자를 입력해 주십시오."
"Please type the letters below","아래의 문자를 입력하십시오"
Root,최상위
"Use Config Settings","스토어 설정값 사용"
"Use All Available Attributes","사용 가능한 모든 어트리뷰트 사용"
"Add Subcategory","하위 카테고리 추가"
"Add Root Category","최상위 카테고리 추가"
Day,일
"<label class=""label""><span>to</span></label>","<label class=""label"">
 <span>
 to</span>
 </label>
 "
[GLOBAL],[글로벌]
[WEBSITE],[웹사이트]
"[STORE VIEW]",[스토어뷰]
"WYSIWYG Editor","WYSIWYG 에디터"
"Add Product","상품 추가"
"Product Attributes","상품 어트리뷰트"
"Add New Attribute","신규 어트리뷰트 추가"
"Save Attribute","어트리뷰트 저장"
"Save in New Attribute Set","신규 어트리뷰트 세트에 저장"
"Enter Name for New Attribute Set","신규 어트리뷰트 세트의 이름을 입력하십시오."
"Delete Attribute","어트리뷰트 삭제"
"Edit Product Attribute ""%1""","상품 어트리뷰트 ""%1"" 수정"
"New Product Attribute","신규 상품 어트리뷰트"
"Advanced Attribute Properties","고급 어트리뷰트 속성"
"Attribute Code","어트리뷰트 코드"
"Default Value",기본값
"Unique Value","고유한 값"
"Unique Value (not shared with other products)","고유한 값(다른 상품과 공유하지 않음)"
"Not shared with other products.","다른 상품과 공유하지 않음"
"Add to Column Options","컬럼 옵션에 추가"
"Use in Filter Options","필터 옵션에 사용"
Website,웹사이트
Global,글로벌
Scope,적용범위
"Declare attribute value saving scope.","속성값 적용 범위를 선언하십시오."
"Storefront Properties","스토어프론트 속성"
"Use in Search","검색에 사용"
"Visible in Advanced Search","고급 검색에 노출"
"Enable WYSIWYG","WYSIWYG 에디터 활성화"
"Allow HTML Tags on Storefront","스토어프론트에 HTML 태그 허용"
"Visible on Catalog Pages on Storefront","스토어프론트의 카테고리 페이지에 노출"
"Used in Product Listing","상품 목록에 사용"
"Used for Sorting in Product Listing","상품 목록의 정렬 기준으로 사용"
"Media Image","미디어 이미지"
Gallery,갤러리
"System Properties","시스템 속성"
Text,텍스트
Datetime,날짜
Decimal,소수
Integer,정수형
"Attribute Information","어트리뷰트 정보"
Properties,속성
"Manage Labels","라벨 관리"
"Delete Selected Group","선택 그룹 삭제"
"New Set Name","신규 세트 이름"
"Edit Attribute Set '%1'","%1 어트리뷰트 세트 수정"
"Add Attribute","어트리뷰트 추가"
"Add New Group","신규 그룹 추가"
"Add Group","그룹 추가"
"Edit Attribute Set Name"," 어트리뷰트 세트 이름 수정"
"Add New Attribute Set","신규 어트리뷰트 세트 추가"
"Add Attribute Set","어트리뷰트 세트 추가"
"Attribute Sets","어트리뷰트 세트"
"Close Window","창 닫기"
"New Product","신규 상품"
"Save & Edit","저장하고 수정"
"Save & New","저장하고 새로 만들기"
"Save & Duplicate","저장하고 복제하기"
"Save & Close","저장하고 닫기"
Change,변경
Websites,웹사이트
"Products Information","상품 정보"
"Create Category","분류 생성"
"Category Name",분류명
"Parent Category","상위 카테고리"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">
 Products > Categories</a>
 ."
"New Attribute","신규 어트리뷰트"
"Attribute Set","어트리뷰트 세트"
"Add New Option","신규 옵션 추가"
"Import Options","가져오기 옵션"
Import,가져오기
"Add New Row","신규 열 추가"
"Delete Row","열 삭제"
"Default Price","기본 가격"
"ALL GROUPS","모든 그룹 "
"Add Price","가격 추가"
"Default Values",기본값
"Related Products","관련 상품"
Up-sells,상향판매
Cross-sells,교차판매
"Change Status","상태 변경"
"Update Attributes","어트리뷰트 업데이트"
"New Category","신규 카테고리"
"Add New Images","신규 이미지 추가"
"Inc. Tax","세금 포함"
"Does this have a weight?","중량이 있습니까?"
"Notify Low Stock RSS","재고부족 알림 RSS"
"Low Stock Products","재고부족 상품"
"%1 has reached a quantity of %2.","%1 는 %2의 양에 도달 했습니다."
"Go to Home Page","홈페이지 가기 "
"Subscribe to RSS Feed","RSS 구독"
"Products Comparison List","상품 비교 리스트"
"New Products from %1","%1에서 새로운 제품"
"New Products","신규 상품"
"%1 - Special Products","%1 - 특별 상품"
"Click for price","클릭하여 가격확인"
"Price: %1","가격: %1"
"Special Price: %1","특별 가격: %1"
"Special Products","특별 상품"
"Manage Catalog Categories","카탈로그 카테고리 관리"
"Manage Categories","카테고리 관리"
"You deleted the category.","카테고리를 삭제하였습니다."
"Something went wrong while trying to delete the category.","카테고리 삭제중 문제가 발생했습니다."
Categories,분류
"Category is not available for requested store.","요청한 스토어에서 해당 카테고리를 사용할 수 없습니다."
"There was a category move error.","카테고리 이동중 에러가 발생했습니다."
"You moved the category.","카테고리를 옮겼습니다."
"Attribute ""%1"" is required.","어트리뷰트 ""%1""은(는) 필수 입니다."
"You saved the category.","카테고리를 저장했습니다."
"Something went wrong while saving the category.","카테고리 저장중 문제가 발생했습니다."
"Please select products for attributes update.","어트리뷰트 업데이트를 위한 상품을 선택해 주십시오."
"A total of %1 record(s) were updated.","총 %1개의 레코드가 수정되었습니다."
"Something went wrong while updating the product(s) attributes.","상품 어트리뷰트 업데이트중 문제가 발생했습니다."
"Unable to add attribute","어트리뷰트를 추가할 수 없습니다."
"Please, specify attributes","어트리뷰트를 지정해 주십시오."
"Manage Product Attributes","상품 어트리뷰트 관리"
"You deleted the product attribute.","상품 어트리뷰트를 삭제하였습니다."
"This attribute no longer exists.","해당 어트리뷰트는 더이상 존재하지 않습니다."
"This attribute cannot be edited.","해당 어트리뷰트는 수정할 수 없습니다."
"Edit Product Attribute","상품 어트리뷰트 수정"
"Something went wrong while saving the attribute.","어트리뷰트 저장중 문제가 발생했습니다."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","어트리뷰트 코드 ""%1""이 잘못되었습니다. 영문 소문자, 숫자, 언더바(_)만 사용할 수 있으며 첫글자는 반드시 영문 소문자여야 합니다."
"You saved the product attribute.","상품 어트리뷰트를 저장했습니다."
"An attribute with this code already exists.","해당 코드를 가진 어트리뷰트가 이미 존재합니다."
"An attribute with the same code (%1) already exists.","동일한 코드(%1)을 가진 어트리뷰트가 이미 존재합니다."
"You duplicated the product.","상품을 복제하였습니다."
"This product doesn't exist.","해당 상품이 존재하지 않습니다."
"Invalid product id. Should be numeric value greater than 0","잘못된 상품 ID입니다. 0보다 큰 숫자를 입력해야 합니다."
"A group with the same name already exists.","동일한 이름의 그룹이 이미 존재합니다."
"Something went wrong while saving this group.","해당 그룹 저장중 문제가 발생했습니다."
"A total of %1 record(s) have been deleted.","총 %1개의 레코드가 삭제되었습니다."
"A total of %1 record(s) have been updated.","총 %1개의 레코드가 업데이트 되었습니다."
"Something went wrong while updating the product(s) status.","상품 상태 업데이트중 문제가 발생했습니다."
"Unable to save product","상품을 저장할 수 없습니다."
"You saved the product.","상품을 저장했습니다."
"SKU for product %1 has been changed to %2.","상품 %1의 SKU가 %2로 변경되었습니다."
"New Attribute Set","신규 어트리뷰트 세트"
"The attribute set has been removed.","어트리뷰트 세트가 삭제되었습니다."
"New Set","신규 세트"
"Manage Product Sets","상품 세트 관리"
"Manage Attribute Sets","어트리뷰트 세트 관리"
"This attribute set no longer exists.","해당 어트리뷰트 세트는 더이상 존재하지 않습니다."
"You saved the attribute set.","어트리뷰트를 저장했습니다."
"Something went wrong while saving the attribute set.","어트리뷰트 세트 저장중 문제가 발생했습니다."
"You added product %1 to the comparison list.","상품 %1을(를) 비교 리스트에 추가하였습니다."
"You cleared the comparison list.","비교 리스트를 비웠습니다."
"Something went wrong  clearing the comparison list.","비교 리스트 삭제중 문제가 발생했습니다."
"You removed product %1 from the comparison list.","상품 %1을(를) 비교 리스트에서 삭제하였습니다."
"1 item","1 개 항목"
"%1 items","%1개 항목"
"Invalid attribute %1","어트리뷰트 %1이(가) 올바르지 않습니다."
Grid,그리드
List,리스트
"Product is not loaded","상품이 로드되지 않았습니다."
"Something went wrong while getting the image url.","이미지 URL을 가져오는중 문제가 발생했습니다."
"The value of attribute ""%1"" must be unique.","어트리뷰트 밸류 ""%1""은(는) 고유값이어야 합니다."
"Products only",상품만
"Static block only","정적 블럭만"
"Static block and products","정적 블럭과 상품"
"Please select a static block.","정적 블럭을 선택해 주십시오."
"Category does not contain specified product","카테고리에 지정된 제품이 없습니다."
"Operation do not allow to move a parent category to any of children category","상위 카테고리를 하위 카테고리로 옮기는것은 허용되지 않습니다."
"Could not move category","카테고리를 옮길 수 없습니다."
"Could not save category: %1","카테고리를 저장할 수 없습니다: %1"
"Cannot delete category with id %1","카테고리를 삭제할 수 없습니다: %1"
"-- Please Select a Category --","-- 카테고리를 선택하세요 --"
"Grid Only","그리드만 표시"
"List Only","리스트만 표시"
"Grid (default) / List","그리드(기본) / 리스트"
"List (default) / Grid","리스트 (기본) / 그리드"
Manual,수동
"-- Please select --",--선택하세요--
"Parent Product Thumbnail","상위 상품 썸네일"
Stretch,늘리기
Tile,타일
Top/Left,상단/좌측
Top/Right,상단/우측
Bottom/Left,하단/좌측
Bottom/Right,하단/우측
Center,중앙
"Something went wrong while saving the file(s).","파일 저장중 문제가 발생했습니다."
"File can not be saved to the destination folder.","폴더에 파일을 저장할 수 없습니다."
"Unsupported product type ""%1"".","지원하지 않는 제품 타입 ""%1""."
"Please correct the category.","카테고리를 수정해 주십시오."
"The attribute model is not defined.","어트리뷰트 모델이 정의되지 않았습니다."
Category,카테고리
"%1 and above","%1 이상"
"Product was not registered","상품이 등록되지 않았습니다."
"Store was not registered","스토어가 등록되지 않았습니다."
"Group price must be a number greater than 0.","그룹 가격은 반드시 0보다 커야합니다."
"Please enter a number 0 or greater in this field.","0 이상의 숫자를 입력해 주십시오."
"The value of attribute ""%1"" must be set","어트리뷰트 ""%1""의 밸류는 필수입니다."
"SKU length should be %1 characters maximum.","SKU의 최대 글자수는 %1입니다."
"Please enter a valid number in this field.","올바른 숫자를 입력해 주십시오."
"Invalid option id %1","옵션 id %1이(가) 올바르지 않습니다."
"Attribute Set already exists.","어트리뷰트 세트가 이미 존재합니다."
"The image content is not valid.","유효 이미지 콘텐츠 입니다."
"Cannot save product.","상품을 저장할 수 없습니다."
"Failed to save new media gallery entry.","새로운 미디어 갤러리 항목을 저장하지 못했습니다."
"There is no image with provided ID.","제공된 ID와 일치하는 이미지가 없습니다."
"The image does not exist.","이미지가 존재하지 않습니다."
"Please correct the image file type.","이미지 파일 타입을 수정해 주십시오."
"ProductSku should be specified","상품 SKU를 지정해 주십시오."
"Please specify date required option(s).","필수 날짜 옵션을 지정해 주십시오."
"Please specify time required option(s).","필수 시간 옵션을 지정해 주십시오."
"The file options format is not valid.","파일 옵션 타입이 유효 하지 않습니다."
"The maximum allowed image size for '%1' is %2x%3 px.","이미지 '%1'의 최대 사이즈는 %2x%3 px 입니다."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","업로드한 파일 '%1'은 서버에서 허용된 %2 메가바이트보다 큽니다."
"The file '%1' is empty. Please choose another one","파일 '%1'이 비어있습니다. 다른 파일을 선택해 주십시오."
"The file '%1' is invalid. Please choose another one","파일 '%1'이 잘못되었습니다. 다른 파일을 선택해 주십시오."
"Validation failed. Required options were not filled or the file was not uploaded.","검증에 실패했습니다. 필수 항목이 비어있거나 파일을 올리지 않았습니다."
"The file you uploaded is larger than %1 Megabytes allowed by server","업로드한 파일이 서버에서 허용된 %2 메가바이트보다 큽니다."
"Option required.","옵션이 필요합니다."
"The file is empty. Please choose another one","파일이 비어있습니다. 다른 파일을 선택해 주십시오."
"Some of the selected item options are not currently available.","선택한 옵션중 현재 사용 불가한것이 있습니다."
"The text is too long.","텍스트가 너무깁니다."
"Could not save group price","그룹 가격을 저장할 수 없습니다."
"Please provide valid data","유효한 데이터를 제공해 주십시오."
"Values of following attributes are invalid: %1","다음 어트리뷰트의 밸류가 잘못되었습니다: %1"
"The file upload failed.","파일 업로드에 실패했습니다."
"The product has required options.","상품에 필수 옵션이 있습니다."
"Not Visible Individually","개별 표시 안함"
"Catalog, Search","카탈로그, 검색"
"Something went wrong while removing products from the websites.","웹사이트에서 상품을 삭제중 문제가 발생했습니다."
"Something went wrong while adding products to websites.","웹사이트에 상품을 저장중 문제가 발생했습니다."
"Group with id ""%1"" does not exist.","ID ""%1"" 그룹이 존재하지 않습니다."
"Attribute group that contains system attributes can not be deleted","시스템 어트리뷰트를 가진 어트리뷰트 세트는 삭제할 수 없습니다."
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' 상품은 SKU '%2' 상품과 연결되어있지 않습니다."
"Product with SKU ""%1"" does not exist","SKU ""%1"" 상품이 존재하지 않습니다."
"Invalid product data: %1","상품 데이터가 올바르지 않습니다: %1"
"Unable to remove product %1","상품 %1을 제거할 수 없습니다."
"Requested product does not support images.","요청하신 상품은 이미지를 지원하지 않습니다."
"There are not websites for assign to product","상품을 지정할 웹사이트가 없습니다."
"Could not assign product ""%1"" to websites ""%2""","상품 ""%1""을(를) 웹사이트 ""%2""에 지정할 수 없습니다."
"Could not save product ""%1"" with websites %2","웹사이트 ""%2""의 상품 ""%1""을 저장할 수 없습니다."
"We cannot determine the field name.","필드명을 특정지을 수 없습니다."
"Do not change the scope. %1","적용점위를 변경하지 마십시오. %1"
"Product with SKU %1 is not linked to product with SKU %2","SKU '%1' 상품은 SKU '%2' 상품과 연결되어있지 않습니다."
Dropdown,드롭다운
message,메세지
"Customer Group","고객 그룹"
"Product Alerts","상품 알림"
"Select Attribute","어트리뷰트 선택"
"Create New Attribute","신규 어트리뷰트 추가"
"Select Product","상품 선택"
"Add Value","밸루 추가"
"Option Type","옵션 타입"
"Max Characters","최대 글자수"
"Compatible File Extensions","호환 가능한 파일 확장자"
"Maximum Image Size","최대 이미지 사이즈"
"Please leave blank if it is not an image.","이미지가 아니면 빈칸으로 두십시오."
"This item has weight","해당 상품은 중량이 있습니다."
"This item has no weight","해당 상품은 중량이 없습니다."
"Set Product as New From","상품을 신규 상태로 설정 From"
"Related Products, Up-Sells, and Cross-Sells","관련 상품, 상향판매, 교차판매"
"Add Related Products","관련 상품 추가"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","상향판매 상품은 고객이 보고있는 제품에 비해 가격이 비싸거나 고품질의 상품을 제안합니다."
"Add Up-Sell Products","상향판매 상품 추가"
"Up-Sell Products","상향판매 상품"
"Add Cross-Sell Products","교차판매 상품 추가"
"Cross-Sell Products","교차판매 상품"
"Product in Websites","웹사이트 상품"
name,이름
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">
 Products &gt; Categories</a>
 ."
"Collapse All","모두 접기"
"Expand All","모두 확장 "
"Manage Titles (Size, Color, etc.)","타이틀 관리(사이즈, 색상 등)"
"Manage Options (Values of Your Attribute)","옵션 관리(어트리뷰트 값)"
"Sort Option","정렬 옵션"
Groups,그룹
"Double click on a group to rename it.","그룹을 더블클릭하면 이름을 바꿀 수 있습니다."
"Unassigned Attributes","미할당 어트리뷰트"
"A name is required.","이름은 필수 항목 입니다."
"This group contains system attributes. Please move system attributes to another group and try again.","해당 그룹은 시스템 어트리뷰트를 포함하고 있습니다. 시스템 어트리뷰트를 다른 그룹으로 옮기고 다시 시도해 주십시오."
"Please enter a new group name.","새로운 그룹 이름을 입력해 주십시오."
"This is a required option.","필수 옵션 입니다."
"Compatible file extensions to upload","업로드할 수 있는 호환가능한 파일 확장자"
"Maximum image width","최대 이미지 폭"
"Maximum image height","최대 이미지 높이"
"Maximum number of characters:","최대 글자수:"
"Manage Stock","재고 관리"
"Out-of-Stock Threshold","품절 임계치"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Qty Uses Decimals","수량에 소수점 사용"
Backorders,백오더
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Enable Qty Increments","수량 증가 사용"
"Qty Increments","수량 증가"
"Stock Availability",재고상태
"In Stock","재고 있음"
"Out of Stock",품절
"Add Product To Websites","웹사이트에 상품 추가"
"Remove Product From Websites","웹사이트에서 상품 삭제"
"To hide an item in catalog or search results, set the status to ""Disabled"".","카탈로그나 검색에서 상품을 보이지 않게 하려면 상태를 ""비활성화""로 바꾸십시오."
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>
 x</span>
 %2 <span>
 px.</span>
 "
"Item Price","상품 가격"
"Product In Websites","웹사이트 상품"
"(Copy data from: %1)","(%1에서 데이터 복사)"
"Delete image","이미지 삭제"
"Alt Text","대체 텍스트"
"Image Size","이미지 사이즈"
"Image Resolution","이미지 해상도"
"Hide from Product Page","상품 페이지에서 숨기기"
"Allow Multiple Boxes for Shipping","배송시 복수 박스 포장 허용"
"Basic Settings","기본 설정"
"Advanced Settings","고급 설정"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">
 save<span class=""percent tier-%3"">
 &nbsp;%4</span>
 %</strong>
 "
"Shop By",정렬순서
"Shopping Options","쇼핑 옵션"
"Compare Products","상품 비교"
"Print This Page","페이지 인쇄"
"Remove Product","상품 삭제"
"Add to Wish List","위시리스트에 추가"
"You have no items to compare.","비교 리스트에 상품이 없습니다."
"Remove This Item","항목 삭제"
Compare,비교
"Clear All","모두 지우기"
Prev,이전
"Learn More","더 알아보기"
"Add to Compare","비교하기에 추가"
